estimates,runtime,forced,relevant_nodes,cat_regions,b_adic_cubes,num_regions,candidate_regions,query_regions,level_0_queries,level_1_queries,level_2_queries,level_3_queries,level_4_queries,baseline_runtimes,true_counts,absolute_error,normalized_error,relative_error
38310,259.6539,3,1,1,25000,1178,1178,1178,0,0,0,1178,0,0.0279967784881591,31518,6792,0.011321245336987069,0.21549590710070435
14335,297.2555,3,1,1,8925,374,374,374,0,0,0,374,0,0.0267434120178222,21660,7325,0.012209676397737084,0.3381809787626962
5599,372.767,3,1,1,18000,230,230,230,0,0,0,230,0,0.0279967784881591,4392,1207,0.0020118879743438443,0.2748178506375228
10313,364.8502,3,1,1,16000,412,412,412,0,0,0,412,0,0.0281503200531005,11821,1508,0.002513609830414679,0.1275695795617968
13631,523.9174,3,1,1,7560,342,342,342,0,0,0,342,0,0.0275549888610839,20573,6942,0.011571272840012402,0.3374325572352112
15303,357.8709,3,1,1,12500,488,488,488,0,0,0,488,0,0.0283071994781494,26973,11670,0.01945213973537089,0.43265487709932154
22028,393.2893,3,1,1,16000,931,931,931,0,0,0,931,0,0.0276246070861816,23654,1626,0.002710298132794607,0.06874101631859306
1793,317.1972,3,1,1,8925,94,94,94,0,0,0,94,0,0.0258190631866455,2433,640,0.0010667840129080866,0.26304973284011507
36694,382.9481,3,1,1,14875,1300,1300,1300,0,0,0,1300,0,0.0262174606323242,34679,2015,0.003358702790640304,0.05810432826782779
5901,597.887,3,1,1,8500,201,201,201,0,0,0,201,0,0.0254666805267334,9454,3553,0.005922318121660049,0.37581975883224034
8727,395.6901,3,1,1,8925,311,311,311,0,0,0,311,0,0.0276274681091308,12419,3692,0.0061540102744635245,0.29728641597552136
8366,415.4084,3,1,1,12600,347,347,347,0,0,0,347,0,0.0275962352752685,12356,3990,0.006650731580473852,0.32292003884752346
13065,349.1819,3,1,1,7560,342,342,342,0,0,0,342,0,0.0269362926483154,22133,9068,0.015114995982891451,0.4097049654362265
23977,544.8259,3,1,1,11900,1125,1125,1125,0,0,0,1125,0,0.0319385528564453,26202,2225,0.00370874129487577,0.08491718189451188
15313,464.6281,3,1,1,9450,396,396,396,0,0,0,396,0,0.0335140228271484,19087,3774,0.006290691976117373,0.1977262010792686
8330,375.9849,3,1,1,15750,292,292,292,0,0,0,292,0,0.0324883460998535,9520,1190,0.0019835515240009733,0.125
23827,416.9311,3,1,1,12500,641,641,641,0,0,0,641,0,0.0333194732666015,35892,12065,0.0201105454933376,0.3361473308815335
9879,564.6973,3,1,1,9000,310,310,310,0,0,0,310,0,0.0325851440429687,14207,4328,0.0072141268872909356,0.30463855845709864
16888,367.4239,3,1,1,12600,472,472,472,0,0,0,472,0,0.0349223613739013,17216,328,0.0005467268066153944,0.019052044609665426
8803,470.263,3,1,1,10000,214,214,214,0,0,0,214,0,0.0363972187042236,17196,8393,0.013989872219277454,0.4880786229355664
25693,325.8735,3,1,1,15750,1165,1165,1165,0,0,0,1165,0,0.0378918647766113,24314,1379,0.002298586177812893,0.056716295138603275
16190,376.8432,3,1,1,12096,463,463,463,0,0,0,463,0,0.0407953262329101,17641,1451,0.0024185993792650525,0.08225157304007709
5089,403.3396,3,1,1,10000,121,121,121,0,0,0,121,0,0.036393404006958,10816,5727,0.009546050065507206,0.5294933431952663
12983,602.7429,3,1,1,18900,497,497,497,0,0,0,497,0,0.0389990806579589,8935,4048,0.006747408881643648,0.4530498041410185
23953,475.0643,3,1,1,12500,639,639,639,0,0,0,639,0,0.0372531414031982,35810,11857,0.019763840689142474,0.331108628874616
11182,391.9982,3,1,1,8500,364,364,364,0,0,0,364,0,0.0363795757293701,18326,7144,0.011907976544086516,0.38982865873622174
8919,433.5733,3,1,1,14875,380,380,380,0,0,0,380,0,0.0313122272491455,5785,3134,0.0052239079632092865,0.5417458945548833
13879,544.4957,3,1,1,17850,527,527,527,0,0,0,527,0,0.030991792678833,9752,4127,0.00687909003323699,0.4231952420016407
4924,378.9855,3,1,1,7560,172,172,172,0,0,0,172,0,0.0310516357421875,8296,3372,0.005620618268009481,0.4064609450337512
3081,302.6837,3,1,1,8925,156,156,156,0,0,0,156,0,0.0312395095825195,6986,3905,0.0065090493287594964,0.5589750930432293
1916,329.8341,3,1,1,6048,67,67,67,0,0,0,67,0,0.0279920101165771,6361,4445,0.007409148339650695,0.6987894985065242
11198,604.4051,3,1,1,8925,357,357,357,0,0,0,357,0,0.0283169746398925,18575,7377,0.012296352598785866,0.3971467025572005
18941,415.3388,3,1,1,18900,510,510,510,0,0,0,510,0,0.0265774726867675,12713,6228,0.010381141925611818,0.48989223629355777
4518,373.1844,3,1,1,18900,183,183,183,0,0,0,183,0,0.026360273361206,3393,1125,0.001875206272689996,0.33156498673740054
3819,366.7755,3,1,1,7140,169,169,169,0,0,0,169,0,0.0313873291015625,9955,6136,0.01022779172375628,0.6163736815670517
9677,388.6495,3,1,1,12500,310,310,310,0,0,0,310,0,0.0290772914886474,15848,6171,0.01028613147446219,0.3893866733972741
22724,651.0727,3,1,1,14875,774,774,774,0,0,0,774,0,0.0296735763549804,21651,1073,0.0017885300716412138,0.04955891182855295
1958,374.7605,3,1,1,5712,93,93,93,0,0,0,93,0,0.028735876083374,5593,3635,0.006058999823313898,0.6499195422849992
11725,586.3296,3,1,1,8925,364,364,364,0,0,0,364,0,0.0309541225433349,19499,7774,0.012958092056792913,0.3986871121595979
7629,362.6199,3,1,1,8925,264,264,264,0,0,0,264,0,0.0287830829620361,8610,981,0.0016351798697856765,0.11393728222996516
1044,433.6692,3,1,1,10000,76,76,76,0,0,0,76,0,0.0296897888183593,2586,1542,0.002570282731100421,0.5962877030162413
