true_counts,estimates,absolute_error,normalized_error,relative_error
183,0,183,0.0003411035351746711,1.0
27,0,27,5.0326751091344914e-05,1.0
1750,0,1750,0.0032619190522168,1.0
2250,0,2250,0.004193895924278743,1.0
858,0,858,0.001599272312458294,1.0
240,1,239,0.0004454849448456087,0.9958333333333333
639,1,638,0.001189202488751039,0.9984350547730829
1373,0,1373,0.002559208490682095,1.0
614,0,614,0.0011444675988920659,1.0
2707,0,2707,0.005045722785343359,1.0
1294,0,1294,0.0024119561448963083,1.0
363,1,362,0.0006747512553728467,0.9972451790633609
2070,0,2070,0.0038583842503364437,1.0
549,0,549,0.0010233106055240132,1.0
776,0,776,0.0014464281054401354,1.0
63,1,62,0.00011556513213568092,0.9841269841269841
937,0,937,0.001746524658244081,1.0
2218,0,2218,0.004134249404466779,1.0
38866,0,38866,0.07244442621911895,1.0
410,1,409,0.0007623570813466693,0.9975609756097561
1182,0,1182,0.0022031933255544332,1.0
838,0,838,0.0015619932375758162,1.0
180,0,180,0.00033551167394229946,1.0
132,0,132,0.00024604189422435294,1.0
647,0,647,0.0012059780724481542,1.0
677,0,677,0.0012618966847718707,1.0
27,1,26,4.846279734722103e-05,0.9629629629629629
368,0,368,0.00068593497783759,1.0
1347,1,1346,0.0025088817395907503,0.9992576095025983
1317,0,1317,0.0024548270810111576,1.0
1287,0,1287,0.0023989084686874412,1.0
1112,0,1112,0.002072716563465761,1.0
2979,0,2979,0.0055527182037450554,1.0
2102,0,2102,0.003918030770148408,1.0
775,0,775,0.0014445641516960116,1.0
804,0,804,0.0014986188102756042,1.0
1281,0,1281,0.0023877247462226977,1.0
469,0,469,0.0008741943059941025,1.0
506,0,506,0.0009431605945266862,1.0
1483,0,1483,0.0027642434025357226,1.0
1557,1,1556,0.0029003120258567663,0.9993577392421323
1742,1,1741,0.003245143468519685,0.9994259471871412
1262,1,1261,0.00235044567134022,0.9992076069730587
86,0,86,0.0001603000219946542,1.0
772,0,772,0.0014389722904636399,1.0
133,0,133,0.00024790584796847683,1.0
1282,1,1281,0.0023877247462226977,0.999219968798752
1302,0,1302,0.0024268677748492994,1.0
0,0,0,0.0,
145,0,145,0.00027027329289796344,1.0
1565,0,1565,0.0029170876095538814,1.0
2055,0,2055,0.0038304249441745855,1.0
272,0,272,0.000506995418401697,1.0
16835,1,16834,0.031377797328581494,0.9999405999405999
389,0,389,0.0007250780064641916,1.0
1226,0,1226,0.002285207290295884,1.0
993,0,993,0.0018509060679150187,1.0
1575,0,1575,0.00293572714699512,1.0
509,0,509,0.0009487524557590579,1.0
532,0,532,0.0009916233918739073,1.0
259,0,259,0.0004827640197280864,1.0
387,0,387,0.0007213500989759438,1.0
1732,0,1732,0.00322836788482257,1.0
746,0,746,0.0013905094931164189,1.0
1234,0,1234,0.0023001189202488752,1.0
1234,0,1234,0.0023001189202488752,1.0
1586,0,1586,0.002956230638180483,1.0
2166,1,2165,0.004035459856028213,0.9995383194829178
26892,0,26892,0.05012544408697954,1.0
14019,0,14019,0.026130767538872755,1.0
1721,0,1721,0.0032078643936372074,1.0
1,0,1,1.8639537441238858e-06,1.0
1115,1,1114,0.0020764444709540086,0.9991031390134529
254,0,254,0.000473444251007467,1.0
2628,0,2628,0.004898470439557572,1.0
415,3,412,0.0007679489425790409,0.9927710843373494
488,0,488,0.0009096094271324563,1.0
505,1,504,0.0009394326870384384,0.998019801980198
1526,0,1526,0.0028443934135330496,1.0
2469,0,2469,0.0046021017942418745,1.0
151,0,151,0.00028145701536270675,1.0
1395,0,1395,0.0026002154730528208,1.0
992,0,992,0.0018490421141708947,1.0
385,0,385,0.000717622191487696,1.0
0,0,0,0.0,
481,0,481,0.0008965617509235891,1.0
17148,1,17147,0.03196121485049227,0.9999416841614183
1,0,1,1.8639537441238858e-06,1.0
18360,0,18360,0.03422219074211454,1.0
1126,0,1126,0.0020988119158834953,1.0
28,0,28,5.2190704835468805e-05,1.0
232,0,232,0.0004324372686367415,1.0
1492,0,1492,0.0027810189862328377,1.0
23005,0,23005,0.042880255883569994,1.0
0,0,0,0.0,
1844,0,1844,0.0034371307041644455,1.0
873,0,873,0.0016272316186201523,1.0
996,0,996,0.0018564979291473902,1.0
623,2,621,0.0011575152751009332,0.9967897271268058
2159,0,2159,0.0040242761335634696,1.0
1620,0,1620,0.003019605065480695,1.0
435,3,432,0.0008052280174615186,0.993103448275862
817,0,817,0.0015228502089492148,1.0
2196,0,2196,0.004093242422096053,1.0
43263,5,43258,0.08063091106331105,0.9998844278020479
2325,0,2325,0.004333692455088034,1.0
449,0,449,0.0008369152311116248,1.0
162,0,162,0.0003019605065480695,1.0
743,0,743,0.001384917631884047,1.0
2181,0,2181,0.004065283115934195,1.0
1819,0,1819,0.0033905318605613483,1.0
1175,0,1175,0.0021901456493455657,1.0
1051,0,1051,0.001959015385074204,1.0
855,0,855,0.0015936804512259224,1.0
617,0,617,0.0011500594601244376,1.0
1234,1,1233,0.0022982549665047512,0.9991896272285251
1513,1,1512,0.0028182980611153154,0.9993390614672836
497,0,497,0.0009263850108295712,1.0
770,0,770,0.001435244382975392,1.0
43485,3,43482,0.0810484367019948,0.9999310106933426
