true_counts,estimates,absolute_error,normalized_error,relative_error
183,0,183,0.0003411035351746711,1.0
27,0,27,5.0326751091344914e-05,1.0
1750,0,1750,0.0032619190522168,1.0
2250,0,2250,0.004193895924278743,1.0
858,0,858,0.001599272312458294,1.0
240,0,240,0.0004473488985897326,1.0
639,0,639,0.001191066442495163,1.0
1373,0,1373,0.002559208490682095,1.0
614,0,614,0.0011444675988920659,1.0
2707,0,2707,0.005045722785343359,1.0
1294,0,1294,0.0024119561448963083,1.0
363,0,363,0.0006766152091169706,1.0
2070,0,2070,0.0038583842503364437,1.0
549,0,549,0.0010233106055240132,1.0
776,0,776,0.0014464281054401354,1.0
63,0,63,0.0001174290858798048,1.0
937,0,937,0.001746524658244081,1.0
2218,0,2218,0.004134249404466779,1.0
38866,0,38866,0.07244442621911895,1.0
410,0,410,0.0007642210350907932,1.0
1182,0,1182,0.0022031933255544332,1.0
838,0,838,0.0015619932375758162,1.0
180,0,180,0.00033551167394229946,1.0
132,0,132,0.00024604189422435294,1.0
647,0,647,0.0012059780724481542,1.0
677,0,677,0.0012618966847718707,1.0
27,0,27,5.0326751091344914e-05,1.0
368,0,368,0.00068593497783759,1.0
1347,0,1347,0.0025107456933348743,1.0
1317,0,1317,0.0024548270810111576,1.0
1287,0,1287,0.0023989084686874412,1.0
1112,0,1112,0.002072716563465761,1.0
2979,0,2979,0.0055527182037450554,1.0
2102,0,2102,0.003918030770148408,1.0
775,0,775,0.0014445641516960116,1.0
804,0,804,0.0014986188102756042,1.0
1281,0,1281,0.0023877247462226977,1.0
469,0,469,0.0008741943059941025,1.0
506,0,506,0.0009431605945266862,1.0
1483,0,1483,0.0027642434025357226,1.0
1557,1,1556,0.0029003120258567663,0.9993577392421323
1742,0,1742,0.003247007422263809,1.0
1262,0,1262,0.002352309625084344,1.0
86,0,86,0.0001603000219946542,1.0
772,0,772,0.0014389722904636399,1.0
133,0,133,0.00024790584796847683,1.0
1282,0,1282,0.0023895886999668217,1.0
1302,0,1302,0.0024268677748492994,1.0
0,0,0,0.0,
145,0,145,0.00027027329289796344,1.0
1565,0,1565,0.0029170876095538814,1.0
2055,0,2055,0.0038304249441745855,1.0
272,0,272,0.000506995418401697,1.0
16835,0,16835,0.03137966128232562,1.0
389,0,389,0.0007250780064641916,1.0
1226,0,1226,0.002285207290295884,1.0
993,0,993,0.0018509060679150187,1.0
1575,0,1575,0.00293572714699512,1.0
509,0,509,0.0009487524557590579,1.0
532,0,532,0.0009916233918739073,1.0
259,0,259,0.0004827640197280864,1.0
387,0,387,0.0007213500989759438,1.0
1732,0,1732,0.00322836788482257,1.0
746,0,746,0.0013905094931164189,1.0
1234,0,1234,0.0023001189202488752,1.0
1234,0,1234,0.0023001189202488752,1.0
1586,0,1586,0.002956230638180483,1.0
2166,0,2166,0.004037323809772337,1.0
26892,1,26891,0.05012358013323542,0.9999628142198423
14019,0,14019,0.026130767538872755,1.0
1721,0,1721,0.0032078643936372074,1.0
1,0,1,1.8639537441238858e-06,1.0
1115,0,1115,0.0020783084246981326,1.0
254,0,254,0.000473444251007467,1.0
2628,0,2628,0.004898470439557572,1.0
415,0,415,0.0007735408038114126,1.0
488,0,488,0.0009096094271324563,1.0
505,0,505,0.0009412966407825623,1.0
1526,0,1526,0.0028443934135330496,1.0
2469,0,2469,0.0046021017942418745,1.0
151,0,151,0.00028145701536270675,1.0
1395,0,1395,0.0026002154730528208,1.0
992,0,992,0.0018490421141708947,1.0
385,0,385,0.000717622191487696,1.0
0,0,0,0.0,
481,0,481,0.0008965617509235891,1.0
17148,0,17148,0.03196307880423639,1.0
1,0,1,1.8639537441238858e-06,1.0
18360,0,18360,0.03422219074211454,1.0
1126,0,1126,0.0020988119158834953,1.0
28,0,28,5.2190704835468805e-05,1.0
232,0,232,0.0004324372686367415,1.0
1492,0,1492,0.0027810189862328377,1.0
23005,1,23004,0.04287839192982587,0.999956531188872
0,1,1,1.8639537441238858e-06,inf
1844,0,1844,0.0034371307041644455,1.0
873,0,873,0.0016272316186201523,1.0
996,0,996,0.0018564979291473902,1.0
623,0,623,0.001161243182589181,1.0
2159,0,2159,0.0040242761335634696,1.0
